,product_name,datestr,date,year,month,week,sat_type,cloud_cover,aoi_coverage,tdi
0,20220106_073707_52_222f,2022-01-06,2022-01-06,2022,1,1,superdove,0,100.0,2.9594319479616664
1,20220119_071632_57_2449,2022-01-19,2022-01-19,2022,1,3,superdove,0,86.92061602835263,5.3508757872469985
2,20220201_071822_86_2439,2022-02-01,2022-02-01,2022,2,5,superdove,0,100.0,5.362729033219127
3,20220202_071917_47_2448,2022-02-02,2022-02-02,2022,2,5,superdove,0,100.0,4.512388897164706
4,20220203_080955_51_2405,2022-02-03,2022-02-03,2022,2,5,superdove,0,100.0,3.9773573663041857
5,20220220_080543_01_2402,2022-02-20,2022-02-20,2022,2,7,superdove,0,100.0,3.70922091464323
6,20220224_074845_36_247b,2022-02-24,2022-02-24,2022,2,8,superdove,0,94.00769711225789,3.1761585596885253
7,20220301_071411_65_2460,2022-03-01,2022-03-01,2022,3,9,superdove,0,100.0,3.3057748646904015
8,20220303_071855_66_241f,2022-03-03,2022-03-03,2022,3,9,superdove,0,94.50875842301524,4.49847487962893
9,20220304_074651_31_247c,2022-03-04,2022-03-04,2022,3,9,superdove,0,100.0,3.674462485724217
10,20220401_071305_25_2455,2022-04-01,2022-04-01,2022,4,13,superdove,0,100.0,4.930731416654253
11,20220402_071750_91_241f,2022-04-02,2022-04-02,2022,4,13,superdove,0,100.0,5.145488852475297
12,20220424_071441_26_241d,2022-04-24,2022-04-24,2022,4,16,superdove,0,99.99667025602109,5.373901385371667
13,20220429_080441_61_2402,2022-04-29,2022-04-29,2022,4,17,superdove,0,87.52283702769452,5.124371911465471
14,20220430_071558_22_2429,2022-04-30,2022-04-30,2022,4,17,superdove,0,97.81412930217206,2.889805891813048
15,20220502_071355_72_2435,2022-05-02,2022-05-02,2022,5,18,superdove,0,100.0,5.2981776652266745
16,20220504_071903_02_2421,2022-05-04,2022-05-04,2022,5,18,superdove,0,100.0,3.9065991360047665
17,20220506_080518_58_2407,2022-05-06,2022-05-06,2022,5,18,superdove,0,89.08817993190345,2.287760345487345
18,20220508_080508_62_240c,2022-05-08,2022-05-08,2022,5,18,superdove,0,100.0,3.0463280202591987
19,20220511_075937_78_2307,2022-05-11,2022-05-11,2022,5,19,superdove,0,100.0,3.3355678037638414
20,20220512_074824_44_2484,2022-05-12,2022-05-12,2022,5,19,superdove,0,100.0,1.6882665474949103
21,20220513_071650_41_2430,2022-05-13,2022-05-13,2022,5,19,superdove,0,100.0,2.8216396047470083
22,20220514_080218_67_2254,2022-05-14,2022-05-14,2022,5,19,superdove,0,100.0,3.67942797556979
23,20220515_071556_25_241d,2022-05-15,2022-05-15,2022,5,19,superdove,0,100.0,4.035701871989672
24,20220523_074601_21_2489,2022-05-23,2022-05-23,2022,5,21,superdove,0,100.0,2.6788817716867768
25,20220524_074906_38_249b,2022-05-24,2022-05-24,2022,5,21,superdove,0,100.0,6.218034659119122
26,20220525_080046_28_240a,2022-05-25,2022-05-25,2022,5,21,superdove,0,100.0,5.452107850439446
27,20220526_071736_05_2458,2022-05-26,2022-05-26,2022,5,21,superdove,0,100.0,3.568945826505785
28,20220529_080028_35_241c,2022-05-29,2022-05-29,2022,5,21,superdove,0,91.16435026222986,4.425646189996643
29,20220530_071604_44_2447,2022-05-30,2022-05-30,2022,5,22,superdove,0,100.0,3.70177267987487
30,20220601_072046_01_2235,2022-06-01,2022-06-01,2022,6,22,superdove,0,92.08948404229638,4.52507351082372
31,20220602_074647_46_2490,2022-06-02,2022-06-02,2022,6,22,superdove,0,94.9588647266274,3.7464908989767007
32,20220604_075002_03_2482,2022-06-04,2022-06-04,2022,6,22,superdove,0,100.0,3.9686677590744326
33,20220610_074618_97_2473,2022-06-10,2022-06-10,2022,6,23,superdove,0,99.65423938329447,2.172401807438304
34,20220612_074703_85_2495,2022-06-12,2022-06-12,2022,6,23,superdove,0,100.0,4.773077114057302
35,20220613_074935_75_2446,2022-06-13,2022-06-13,2022,6,24,superdove,0,90.4209377222331,3.667603958254475
36,20220614_071540_05_2421,2022-06-14,2022-06-14,2022,6,24,superdove,0,100.0,4.018322657530166
37,20220615_080627_05_2402,2022-06-15,2022-06-15,2022,6,24,superdove,0,100.0,3.588807785888078
38,20220617_074932_89_2498,2022-06-17,2022-06-17,2022,6,24,superdove,0,95.47101941843152,5.213148102846696
39,20220618_071634_88_2439,2022-06-18,2022-06-18,2022,6,24,superdove,0,91.56800804088776,4.534085893509168
40,20220619_074617_62_2438,2022-06-19,2022-06-19,2022,6,24,superdove,0,100.0,4.152390883360643
41,20220624_074943_08_2498,2022-06-24,2022-06-24,2022,6,25,superdove,0,100.0,4.943145141268186
42,20220703_074700_96_2495,2022-07-03,2022-07-03,2022,7,26,superdove,0,100.0,5.046179055563831
43,20220705_071153_85_2423,2022-07-05,2022-07-05,2022,7,27,superdove,0,100.0,2.7632950990615224
44,20220707_074810_80_2486,2022-07-07,2022-07-07,2022,7,27,superdove,0,100.0,2.8365360742837282
45,20220708_074910_82_2480,2022-07-08,2022-07-08,2022,7,27,superdove,0,100.0,2.5597100153930183
46,20220710_071242_55_2420,2022-07-10,2022-07-10,2022,7,27,superdove,0,100.0,6.2205174040419084
47,20220723_074722_98_2488,2022-07-23,2022-07-23,2022,7,29,superdove,0,100.0,3.9003922736978005
48,20220724_071735_57_2458,2022-07-24,2022-07-24,2022,7,29,superdove,0,96.89621876597863,3.8720345989951026
49,20220727_074524_48_247a,2022-07-27,2022-07-27,2022,7,30,superdove,0,95.02951201476382,3.7831967107134545
50,20220729_071455_76_2420,2022-07-29,2022-07-29,2022,7,30,superdove,0,100.0,3.766324047867322
51,20220730_074817_96_247c,2022-07-30,2022-07-30,2022,7,30,superdove,0,94.17227296675745,3.4767067172843857
52,20220731_071612_24_2430,2022-07-31,2022-07-31,2022,7,30,superdove,0,100.0,3.153086051939024
53,20220808_074602_70_2478,2022-08-08,2022-08-08,2022,8,32,superdove,0,100.0,3.715427776950196
54,20220809_071514_61_2436,2022-08-09,2022-08-09,2022,8,32,superdove,0,100.0,1.4449575450618204
55,20220810_071653_46_2440,2022-08-10,2022-08-10,2022,8,32,superdove,0,100.0,1.3804061770693679
56,20220811_074834_60_2480,2022-08-11,2022-08-11,2022,8,32,superdove,0,100.0,1.647301256268931
57,20220812_074755_09_249d,2022-08-12,2022-08-12,2022,8,32,superdove,0,100.0,3.201499577933363
58,20220813_075842_13_2274,2022-08-13,2022-08-13,2022,8,32,superdove,0,100.0,2.9668801827300264
59,20220814_071216_75_2451,2022-08-14,2022-08-14,2022,8,32,superdove,0,90.39802382606115,3.0084642635009056
60,20220815_074543_84_24a5,2022-08-15,2022-08-15,2022,8,33,superdove,0,100.0,2.361090421570088
61,20220818_074920_49_24a3,2022-08-18,2022-08-18,2022,8,33,superdove,0,100.0,2.699985103530463
62,20220823_071606_45_2465,2022-08-23,2022-08-23,2022,8,34,superdove,0,100.0,2.333780227419435
63,20220825_074634_25_2474,2022-08-25,2022-08-25,2022,8,34,superdove,0,100.0,3.1977754605491833
64,20220826_070934_67_2455,2022-08-26,2022-08-26,2022,8,34,superdove,0,100.0,2.011023387457173
65,20220827_080215_37_2274,2022-08-27,2022-08-27,2022,8,34,superdove,0,100.0,1.4871642087491932
66,20220828_071545_92_2464,2022-08-28,2022-08-28,2022,8,34,superdove,0,100.0,1.8682655543969413
67,20220829_080434_86_2405,2022-08-29,2022-08-29,2022,8,35,superdove,0,90.189623488637,1.1420752441981765
68,20220903_074542_54_2446,2022-09-03,2022-09-03,2022,9,35,superdove,0,100.0,3.364119370375888
69,20220905_074454_02_248e,2022-09-05,2022-09-05,2022,9,36,superdove,0,93.2983974578636,3.108890057864282
70,20220910_074557_64_248c,2022-09-10,2022-09-10,2022,9,36,superdove,0,99.46012118811215,2.3367680509117124
71,20220911_074653_91_2470,2022-09-11,2022-09-11,2022,9,36,superdove,0,100.0,1.7627488951785093
72,20220912_073243_78_2251,2022-09-12,2022-09-12,2022,9,37,superdove,0,96.5665332161603,2.814047726249437
73,20220915_074729_19_2495,2022-09-15,2022-09-15,2022,9,37,superdove,0,93.72985128258404,1.6922291058167103
74,20220917_071500_75_2421,2022-09-17,2022-09-17,2022,9,37,superdove,0,93.22862369770256,1.279564713692514
75,20220918_074820_05_247a,2022-09-18,2022-09-18,2022,9,37,superdove,0,100.0,2.22329807835543
76,20220919_074755_23_248f,2022-09-19,2022-09-19,2022,9,38,superdove,0,100.0,0.7435821043745966
77,20220925_074907_88_2486,2022-09-25,2022-09-25,2022,9,38,superdove,0,100.0,2.6304682456924375
78,20220926_074726_55_2480,2022-09-26,2022-09-26,2022,9,39,superdove,0,100.0,1.0812354138735787
79,20220927_071329_35_2453,2022-09-27,2022-09-27,2022,9,39,superdove,0,100.0,2.546054918317692
80,20220930_074839_99_2499,2022-09-30,2022-09-30,2022,9,39,superdove,0,99.95029056116942,2.8402954503134503
81,20221001_074717_15_248b,2022-10-01,2022-10-01,2022,10,39,superdove,0,100.0,2.361090421570088
82,20221003_071253_77_2453,2022-10-03,2022-10-03,2022,10,40,superdove,0,87.98348821845275,2.2107256193498492
83,20221004_074557_82_2479,2022-10-04,2022-10-04,2022,10,40,superdove,0,100.0,1.7155767416455632
84,20221006_070955_91_242b,2022-10-06,2022-10-06,2022,10,40,superdove,0,100.0,1.0762699240280054
85,20221007_073217_77_2262,2022-10-07,2022-10-07,2022,10,40,superdove,0,100.0,0.7361338696062367
86,20221009_074727_54_24a3,2022-10-09,2022-10-09,2022,10,40,superdove,0,100.0,2.1475743582104374
87,20221010_071105_15_2442,2022-10-10,2022-10-10,2022,10,41,superdove,0,100.0,1.3953026466060878
88,20221012_074617_44_2478,2022-10-12,2022-10-12,2022,10,41,superdove,0,92.89724495725864,1.5836378790793102
89,20221013_074611_70_249b,2022-10-13,2022-10-13,2022,10,41,superdove,0,100.0,1.7900590893291621
90,20221014_074742_80_2486,2022-10-14,2022-10-14,2022,10,41,superdove,0,100.0,1.1507522717116043
91,20221021_074606_82_2498,2022-10-21,2022-10-21,2022,10,42,superdove,0,94.34992174887557,2.474280505274124
92,20221028_074606_93_249d,2022-10-28,2022-10-28,2022,10,43,superdove,0,100.0,3.176672128705497
93,20221109_071119_93_242b,2022-11-09,2022-11-09,2022,11,45,superdove,0,92.58401571741864,1.9369530391494885
94,20221116_074935_50_249a,2022-11-16,2022-11-16,2022,11,46,superdove,0,100.0,4.69362927652813
95,20221117_074847_55_247e,2022-11-17,2022-11-17,2022,11,46,superdove,0,100.0,4.071701673370078
96,20221118_075424_84_2424,2022-11-18,2022-11-18,2022,11,46,superdove,0,87.67229471977984,4.374343087901754
97,20221123_071156_48_2453,2022-11-23,2022-11-23,2022,11,47,superdove,0,95.705905999379,4.190277938398674
98,20221202_070842_55_2463,2022-12-02,2022-12-02,2022,12,48,superdove,0,100.0,4.1474253935150704
99,20221205_074719_32_2470,2022-12-05,2022-12-05,2022,12,49,superdove,0,100.0,2.132677888673718
100,20221224_071450_36_245c,2022-12-24,2022-12-24,2022,12,51,superdove,0,100.0,7.346442226525647
101,20221225_080520_13_2405,2022-12-25,2022-12-25,2022,12,51,superdove,0,99.11570953659762,3.3016689343535846
102,20230103_070845_67_2459,2023-01-03,2023-01-03,2023,1,1,superdove,0,100.0,4.487561447936839
103,20230104_074742_53_247f,2023-01-04,2023-01-04,2023,1,1,superdove,0,100.0,5.141764735091116
104,20230128_070827_53_2451,2023-01-28,2023-01-28,2023,1,4,superdove,0,100.0,3.3492229008391674
105,20230206_074829_48_248c,2023-02-06,2023-02-06,2023,2,6,superdove,0,100.0,5.714037439793436
106,20230309_075020_98_2474,2023-03-09,2023-03-09,2023,3,10,superdove,0,100.0,6.326034063260341
107,20230318_080322_72_2414,2023-03-18,2023-03-18,2023,3,11,superdove,0,99.98919526919306,5.767416455633348
108,20230319_071848_67_24be,2023-03-19,2023-03-19,2023,3,11,superdove,0,100.0,6.677342469834649
109,20230320_074937_94_24a5,2023-03-20,2023-03-20,2023,3,12,superdove,0,100.0,4.3969412582551275
